pred_115_A.png; Acc 0.9799759387969971; Dice 0.8893639947887645; clDice 0.9269016357913729; 0-dim Betti 0.130859375; Recall 0.9492437173282793; LSRecall 0.8119338561614687
pred_117_A.png; Acc 0.9779362678527832; Dice 0.8691430995475113; clDice 0.8993595862662727; 0-dim Betti 0.123046875; Recall 0.8344506259825523; LSRecall 0.5283018867924528
pred_134_A.png; Acc 0.9800155162811279; Dice 0.8773303946835025; clDice 0.8916971848014905; 0-dim Betti 0.146484375; Recall 0.8948380297878311; LSRecall 0.9048942545707214
pred_167_D.png; Acc 0.9791209697723389; Dice 0.8338043030628531; clDice 0.811927887198862; 0-dim Betti 0.1484375; Recall 0.7977839838174892; LSRecall 0.7954100415132764
pred_178_D.png; Acc 0.9831051826477051; Dice 0.891218180757552; clDice 0.9063590775547865; 0-dim Betti 0.1396484375; Recall 0.9006782795405324; LSRecall 0.8445016154122292
pred_202_D.png; Acc 0.9663197994232178; Dice 0.7309017690972784; clDice 0.7495715814917648; 0-dim Betti 0.23828125; Recall 0.6796060788550781; LSRecall 0.6604739994791214
pred_223_D.png; Acc 0.9795935153961182; Dice 0.799071311361881; clDice 0.8138187395927617; 0-dim Betti 0.14453125; Recall 0.7126651927038842; LSRecall 0.6477904773546849
pred_253_D.png; Acc 0.9743075370788574; Dice 0.7128643751665334; clDice 0.6789486873415813; 0-dim Betti 0.185546875; Recall 0.5907507099042126; LSRecall 0.4867149758454106
pred_265_D.png; Acc 0.9756355285644531; Dice 0.8557962588758565; clDice 0.8690539366186494; 0-dim Betti 0.171875; Recall 0.843930378443367; LSRecall 0.7979545043142461
pred_27_A.png; Acc 0.9760305881500244; Dice 0.8027847689069448; clDice 0.7769915129804298; 0-dim Betti 0.22265625; Recall 0.8036155414082781; LSRecall 0.6874594419208306
pred_292_D.png; Acc 0.9812157154083252; Dice 0.8953487599836887; clDice 0.9315774102799603; 0-dim Betti 0.1533203125; Recall 0.9511382909972428; LSRecall 0.9267547055791551
pred_307_G.png; Acc 0.9782242774963379; Dice 0.8184575631087259; clDice 0.8268850472216297; 0-dim Betti 0.1513671875; Recall 0.7578812910445564; LSRecall 0.6464497658193543
pred_356_G.png; Acc 0.9840531349182129; Dice 0.9067515419190061; clDice 0.9453844764940951; 0-dim Betti 0.125; Recall 0.933820151156647; LSRecall 0.8101318722139673
pred_383_G.png; Acc 0.9848442077636719; Dice 0.9127014644972039; clDice 0.9499164196698059; 0-dim Betti 0.099609375; Recall 0.9510181303035072; LSRecall 0.843914587841424
pred_388_G.png; Acc 0.9741497039794922; Dice 0.7526452431251055; clDice 0.7299020181346777; 0-dim Betti 0.2685546875; Recall 0.7691106189532579; LSRecall 0.7622617296316003
pred_420_G.png; Acc 0.9790811538696289; Dice 0.8716553447196429; clDice 0.8773568004413573; 0-dim Betti 0.150390625; Recall 0.8511907482744435; LSRecall 0.6817766242958682
pred_421_G.png; Acc 0.9796621799468994; Dice 0.8893337294518904; clDice 0.900294415914961; 0-dim Betti 0.1669921875; Recall 0.9211491688950403; LSRecall 0.7583948361375448
pred_439_G.png; Acc 0.9806222915649414; Dice 0.8505230479497403; clDice 0.872656056470293; 0-dim Betti 0.1640625; Recall 0.8652943003513867; LSRecall 0.8322711930495814
pred_457_N.png; Acc 0.9753217697143555; Dice 0.8703482415069005; clDice 0.8947726640125387; 0-dim Betti 0.2021484375; Recall 0.9307826469020171; LSRecall 0.8483910057896863
pred_479_N.png; Acc 0.9822285175323486; Dice 0.8961379346861315; clDice 0.9183423741537976; 0-dim Betti 0.14453125; Recall 0.8720839412693161; LSRecall 0.8617843710823234
pred_511_N.png; Acc 0.9847314357757568; Dice 0.9141029166191629; clDice 0.9430303908992109; 0-dim Betti 0.134765625; Recall 0.9306206832513566; LSRecall 0.8535644896129129
pred_522_N.png; Acc 0.9834294319152832; Dice 0.9051708376653322; clDice 0.9478451654727045; 0-dim Betti 0.1015625; Recall 0.9001207549217807; LSRecall 0.7843358446476774
pred_548_N.png; Acc 0.9833910465240479; Dice 0.9056336940663949; clDice 0.9297745800779795; 0-dim Betti 0.1591796875; Recall 0.9143771541112752; LSRecall 0.8298285916239618
pred_573_N.png; Acc 0.9820511341094971; Dice 0.9079958985990954; clDice 0.942289526955275; 0-dim Betti 0.1259765625; Recall 0.9398690462335612; LSRecall 0.8769919127147437
pred_76_A.png; Acc 0.9746456146240234; Dice 0.8130484923492349; clDice 0.8065390629959422; 0-dim Betti 0.1552734375; Recall 0.7369246261902638; LSRecall 0.583786557208825
pred_78_A.png; Acc 0.9818313121795654; Dice 0.8807834609638384; clDice 0.9113459368689797; 0-dim Betti 0.115234375; Recall 0.8911206077872744; LSRecall 0.7746708945901797
pred_82_A.png; Acc 0.9802865982055664; Dice 0.8118449138233139; clDice 0.8412383232376192; 0-dim Betti 0.12109375; Recall 0.7980824295787251; LSRecall 0.7966300940438872
pred_88_A.png; Acc 0.9829707145690918; Dice 0.889100738748754; clDice 0.9023529356789456; 0-dim Betti 0.1376953125; Recall 0.8756491262409092; LSRecall 0.7380678118896179
pred_92_A.png; Acc 0.9762682914733887; Dice 0.8596486775351591; clDice 0.8907978272583617; 0-dim Betti 0.119140625; Recall 0.8233705267308975; LSRecall 0.6816837759428699
pred_98_A.png; Acc 0.982032060623169; Dice 0.8692538432045412; clDice 0.8669346767602555; 0-dim Betti 0.15234375; Recall 0.8617621057483601; LSRecall 0.8236313935569091

Average:
accuracy: 0.9794360478719075
dice: 0.8560921600257179
cldice: 0.8717955312878786
0betti: 0.1533203125
recall: 0.8494309628904442
ls_recall: 0.7626919036878843
